depth,mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
2,process,2000,46,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,8.512675412930548e-05,0.9999992847442627,0.9998607039451599,2.9024244213360362e-05,1.0000883340835571,7.181822729762644e-05,0.0001760651357471943,0.00017606289475224912,1.0,,,,,,,,,,,,
2,outcome,2000,46,0.65625,0.65625,direct answer conditioned on COLON,0.9998129606246948,0.574999988079071,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,2000,46,0.7890625,0.7890625,direct answer conditioned on COLON,0.998313307762146,0.5249999761581421,gold-prefix trace readout; conditioned on valid state token,1.0,0.004519914276897907,0.9999291896820068,0.9373235106468201,0.003731945063918829,1.0550647974014282,0.021813340485095978,0.5028738379478455,0.5021668672561646,1.0,mixed only; direct answer CE; first-step local tables,9.14773178100586,1.3417670726776123,0.1704201897181841,0.9856572476577581,1.256672978401184,0.16975670897003456,0.025871237925700067,-0.020151432647515146,0.07175092562769794,1.3520523309707642,0.021473105996847153
4,process,0,42,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.06370192021131516,0.9375072121620178,0.23975308239459991,0.12436297535896301,0.19058935344219208,0.05490081384778023,0.2228047400712967,1.0,nan,0.07500000298023224,,,,,,,,,,,,
4,outcome,0,42,0.0,0.0,direct answer conditioned on COLON,0.1791156530380249,0.0625,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,0,42,0.0,0.0,direct answer conditioned on COLON,0.1791156530380249,0.0625,gold-prefix trace readout; conditioned on valid state token,0.06370192021131516,0.9375072121620178,0.23975308239459991,0.12436297535896301,0.19058935344219208,0.05490081384778023,0.2228047400712967,0.8236743807792664,0.3642975687980652,0.07500000298023224,mixed only; direct answer CE; first-step local tables,5.152724266052246,3.639430046081543,0.2295382142445221,1.0838012349753092,0.059781234711408615,0.02527364966843976,0.04241470734891591,0.01788129719972866,0.02982040044713233,4.435855865478516,2.9747207164764404
4,process,100,42,0.1640625,0.12109375,after greedy trace; not a marginal over traces,0.9999538660049438,0.22499999403953552,gold-prefix trace readout; conditioned on valid state token,0.6322115659713745,0.5104159712791443,0.9984702467918396,0.909758985042572,0.09381493926048279,1.1196602582931519,0.11207548528909683,0.7498292326927185,0.7498269081115723,0.1875,,,,,,,,,,,,
4,outcome,100,42,0.08984375,0.08984375,direct answer conditioned on COLON,0.9963638186454773,0.08749999850988388,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,100,42,0.09765625,0.08203125,direct answer conditioned on COLON,0.9948362112045288,0.15000000596046448,gold-prefix trace readout; conditioned on valid state token,0.5757211446762085,0.6034049391746521,0.9942729473114014,0.49323132634162903,0.10602053999900818,0.9812272787094116,0.10091989487409592,0.19345834851264954,0.19122031331062317,0.10000000149011612,mixed only; direct answer CE; first-step local tables,4.0636115074157715,6.614333629608154,0.5913805463240612,1.3130965214665882,4.950965404510498,-0.12911743360973527,0.0059223979334508,0.027568516130105074,0.1292579499700637,2.6073949337005615,2.755709648132324
4,process,500,42,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.001646245364099741,0.9999935626983643,0.9933488965034485,0.0010638226522132754,1.014202356338501,0.008356381207704544,0.005115932319313288,0.005115929059684277,1.0,,,,,,,,,,,,
